time (h),conc (kg_dextrose/lg_solution)
0,0.675008438
0.933606557,0.665484571
2.117791707,0.660614754
2.97656702,0.656472396
4.013259402,0.650865477
5.019816779,0.646726133
6.027145612,0.640629219
7.004532305,0.635510487
7.95216972,0.630880545
8.959016393,0.626007112
10.05405014,0.622358968
11.06041466,0.618709016
12.15525554,0.615550265
12.86615236,0.61164959
14.168081,0.608005665
15.05621986,0.604353303
15.97381871,0.600946239
17.09869817,0.596564609
18.07463838,0.595116321
19.08119576,0.590976977
19.93968177,0.587568708
21.03461909,0.58416526
22.07025072,0.58125
23.13534233,0.578580039
23.99373192,0.575416466
